"Ensimmäinen luku","Toinen luku","Kolmas luku","Neljäs luku","Viides luku","Satunnainen valinta","Toinen satunnainen valinta","Kolikonheitto [1. heitto]","Kolikonheitto [2. heitto]","Kolikonheitto [3. heitto]","Kolikonheitto [4. heitto]","Kolikonheitto [5. heitto]","Kolikonheitto [6. heitto]","Arvaa noutajan paino","Arvaa lähimmäs keskiarvoa","Vaihtoehto B","Matematiikan käyttö","Kätisyytesi","Kengännumero"
"5","13","17","1","6","1","3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","26","17","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Mitä se sinulle kuuluu?","41"
"1","7","10","8","18","3","1;2;3;4","Kruuna","Klaava","Kruuna","Klaava","Kruuna","Klaava","27","30","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","37"
"7","9","1","3","12","3","2","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","35","50","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","40"
"1","2","3","4","5","2","1;2;3;4","Klaava","Kruuna","Kruuna","Kruuna","Klaava","Klaava","35","0","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Mitä se sinulle kuuluu?","38"
"2","14","18","5","7","2","3;4","Klaava","Kruuna","Kruuna","Klaava","Kruuna","Klaava","35","78","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"0","5","10","15","19","3","1;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","32","35","Vaihtoehto B <-- tavoite 50 %","En halua vastata","Oikea","36"
"1","5","12","13","7","3","1;2","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","33","0","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","41"
"12","9","4","17","19","3","3","Kruuna","Kruuna","Kruuna","Klaava","Klaava","Kruuna","65","49","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","42"
"7","4","18","3","12","3","2;4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Klaava","30","13","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","39"
"1","7","8","10","17","4","2","Klaava","Klaava","Kruuna","Klaava","Kruuna","Kruuna","31","22","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","38"
"17","4","0","12","10","3","1","Kruuna","Kruuna","Kruuna","Kruuna","Klaava","Klaava","23","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","45"
"13","7","3","17","12","4","1;4","Kruuna","Kruuna","Kruuna","Klaava","Klaava","Kruuna","37","0","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","40"
"5","8","19","0","4","3","1;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","30","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","36"
"15","8","2","10","5","3","2;3","Kruuna","Klaava","Kruuna","Kruuna","Klaava","Klaava","40","68","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","36"
"19","7","4","9","7","2","1;4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Klaava","40","10","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","40"
"5","7","12","13","18","3","1","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","15","0","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"8","12","5","7","14","2","3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","41","39","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","42"
"10","6","3","16","19","3","1","Klaava","Kruuna","Kruuna","Klaava","Kruuna","Klaava","40","88","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","36"
"7","3","2","10","13","3","1;4","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Klaava","70","77","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"18","2","9","15","3","4","3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","45","12","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
